,0
0,0.02368865
1,0.96999323
2,0.0038902059
3,0.95996517
4,0.003886778
5,0.997711
6,0.9743692
7,0.99157166
8,0.0024497758
9,0.029011792
10,0.00292676
11,0.0060363426
12,0.0048788614
13,0.003116479
14,0.0112018
15,0.004465494
16,0.007573302
17,0.0015708811
18,0.028181674
19,0.0028274392
20,0.9960237
21,0.99399716
22,0.003883143
23,0.0012019238
24,0.9940091
25,0.036234494
26,0.0062837596
27,0.9920774
28,0.99362147
29,0.009452783
30,0.004619292
31,0.006328115
32,0.9673704
33,0.0036214977
34,0.9936863
35,0.0068630883
36,0.0041838805
37,0.007166472
38,0.99588245
39,0.003475192
40,0.99462396
41,0.99703956
42,0.0025987078
43,0.02477835
44,0.005692381
45,0.003886778
46,0.16924123
47,0.9963496
48,0.003886778
49,0.0027398875
50,0.00891855
51,0.98763
52,0.0024223367
53,0.004820064
54,0.0026907045
55,0.029011792
56,0.005279566
57,0.9915856
58,0.9972355
59,0.0073492727
60,0.004524871
61,0.006710712
62,0.99577326
63,0.99137646
64,0.94610834
65,0.0020130924
66,0.003189122
67,0.9660618
68,0.0036411935
69,0.023403326
70,0.00334537
71,0.9968479
72,0.0039060307
73,0.006328121
74,0.005391907
75,0.0026109237
76,0.014358968
77,0.016618507
78,0.0024501383
79,0.014358968
80,0.9973627
81,0.015589844
82,0.98957783
83,0.99055934
84,0.0029588845
85,0.0032394119
86,0.011126777
87,0.011317063
88,0.03122049
89,0.9913479
90,0.99732715
91,0.0026159475
92,0.022260912
93,0.9855734
94,0.002423234
95,0.002710013
96,0.0032903324
97,0.99897045
98,0.0073581035
99,0.9413034
100,0.991541
101,0.9809678
102,0.9913504
103,0.0023189608
104,0.0089136325
105,0.9687353
106,0.023936376
107,0.9925931
108,0.9901657
109,0.9960505
110,0.014464244
111,0.9975671
112,0.012104075
113,0.002585653
114,0.006623764
115,0.98691225
116,0.0036519035
117,0.0065871314
118,0.98011035
119,0.00012637296
120,0.99772775
121,0.04453863
122,0.9982316
123,0.020096993
124,0.0053406237
125,0.0046783593
126,0.005509172
127,0.97094154
128,0.97291017
129,0.007849608
130,0.0043282122
131,0.014464244
132,0.9969903
133,0.014868775
134,0.003355213
135,0.014465992
136,0.027345022
137,0.9374415
138,0.9964609
139,0.9970837
140,0.9650358
141,0.0065178843
142,0.99622464
143,0.0017734641
144,0.0024497758
145,0.99648774
146,0.9499962
147,0.002562216
148,0.00869414
149,0.0075126006
150,0.99424696
151,0.9969418
152,0.99708253
153,0.9959635
154,0.051523164
155,0.014158549
156,0.98287827
157,0.005914037
158,0.0026259597
159,0.022337683
160,0.9457011
161,0.0024497758
162,0.0030167531
163,0.9936505
164,0.99777913
165,0.99791086
166,0.9943784
167,0.9730869
168,0.0044904966
169,0.9970302
170,0.004526841
171,0.99531394
172,0.0046156165
173,0.0036305112
174,0.99546623
175,0.0024484363
176,0.02065669
177,0.9901963
